Balloon;Explosion;Color
1;42;yellow
2;45;white
3;39;yellow
4;33;green
5;38;yellow
6;35;red
7;39;white
8;32;green
9;39;white
10;41;yellow
11;37;purple
12;32;orange
13;41;yellow
14;42;purple
15;36;orange
16;35;pink
17;40;orange
18;37;yellow
19;40;green
20;42;purple
21;40;yellow
22;35;purple
23;38;orange
24;34;white
25;36;purple
26;36;white
27;34;yellow
28;36;blue
29;34;blue
30;35;green
31;9;white
32;36;white
33;35;green
34;39;orange
35;39;red
36;34;purple
37;32;blue
38;42;orange
39;38;purple
40;33;blue
41;36;green
42;35;green
43;46;blue
44;37;orange
45;43;orange
46;42;white
47;35;red
48;33;red
49;35;yellow
50;40;pink
51;39;orange
52;32;orange
53;30;orange
54;45;orange
55;37;blue
56;45;purple
57;36;purple
58;44;green
59;32;green
60;39;yellow
61;46;red
62;34;orange
63;46;orange
64;38;yellow
65;39;white
66;38;orange
67;31;orange
68;40;red
69;37;orange
70;35;orange
71;32;orange
72;29;purple
73;35;yellow
74;33;yellow
75;40;white
76;35;white
77;30;green
78;34;pink
79;34;pink
80;37;white
81;38;pink
82;31;green
83;44;purple
84;39;yellow
85;35;orange
86;43;white
87;41;purple
88;46;blue
89;43;yellow
90;34;green
91;47;white
92;39;orange
93;47;red
94;47;pink
95;24;blue
96;47;yellow
97;48;pink
98;49;white
99;39;yellow
100;39;blue